map,targets,n_targets,to_land_use,to_income,anchor_scale,beta,pmin,pmax,inside_%,peak_lps,mean_lps,calibration,drifted_%,passed,fail
LR_LR_LR_LR_LR,A,1,mixed,low,0.05,0.0,28.575815200805664,48.46117401123047,100.0,702.8506988793865,308.13294584249667,1.0,100.0,True,
LR_LR_LR_LR_LR,A,1,mixed,low,0.05,0.25,28.539155960083008,48.46117401123047,100.0,703.7004578466331,310.0482012614732,1.0,100.0,True,
LR_LR_LR_LR_LR,A,1,mixed,low,0.05,0.5,28.460994720458984,48.46117401123047,100.0,704.7257745077417,312.3599729184855,1.0,100.0,True,
LR_LR_LR_LR_LR,A,1,mixed,low,0.05,0.75,28.104806900024414,48.46117401123047,100.0,712.2215325243516,315.15034557389924,1.0,100.0,True,
LR_LR_LR_LR_LR,A,1,mixed,low,0.05,1.0,27.670143127441406,48.46117401123047,100.0,722.130817071196,318.51839614448795,1.0,100.0,True,
LR_LR_LR_LR_LR,A,1,commercial,low,0.05,0.0,28.602176666259766,48.46117401123047,100.0,702.2390788696772,307.8433375342312,1.0,100.0,True,
LR_LR_LR_LR_LR,A,1,commercial,low,0.05,0.25,28.547821044921875,48.46117401123047,100.0,703.4996794835632,311.0797779809082,1.0,100.0,True,
LR_LR_LR_LR_LR,A,1,commercial,low,0.05,0.5,28.327743530273438,48.46117401123047,100.0,707.0932801748635,315.4850252196913,1.0,100.0,True,
LR_LR_LR_LR_LR,A,1,commercial,low,0.05,0.75,27.652362823486328,48.46117401123047,100.0,722.5337027258637,321.48114394612224,1.0,100.0,True,
LR_LR_LR_LR_LR,A,1,commercial,low,0.05,1.0,26.71291732788086,48.46117401123047,100.0,743.5552393575613,329.64260322321724,1.0,100.0,True,
LR_LR_LR_LR_LR,A,1,industrial,low,0.05,0.0,28.632028579711914,48.46117401123047,100.0,701.5459126046026,307.8017531472902,1.0,100.0,True,
LR_LR_LR_LR_LR,A,1,industrial,low,0.05,0.25,28.54208755493164,48.46117401123047,100.0,703.632586573556,314.42006716508206,1.0,100.0,True,
LR_LR_LR_LR_LR,A,1,industrial,low,0.05,0.5,27.67436981201172,48.46117401123047,100.0,722.0350236548909,325.9494477111984,1.0,100.0,True,
LR_LR_LR_LR_LR,A,1,industrial,low,0.05,0.75,25.73914909362793,48.46117401123047,100.0,764.8232103784874,346.0340005146793,1.0,100.0,True,
LR_LR_LR_LR_LR,A,1,industrial,low,0.05,1.0,22.14202308654785,48.46117401123047,100.0,839.3745097110406,381.02179204668477,1.0,100.0,True,
LR_LR_LR_LR_LR,B,1,mixed,low,0.05,0.0,29.8283634185791,48.4715576171875,100.0,676.2496487305566,302.64104321476765,1.0,100.0,True,
LR_LR_LR_LR_LR,B,1,mixed,low,0.05,0.25,29.602575302124023,48.46956253051758,100.0,681.1664166935528,313.7553045152611,1.0,100.0,True,
LR_LR_LR_LR_LR,B,1,mixed,low,0.05,0.5,28.30489158630371,48.467071533203125,100.0,707.2450075032056,327.17027551193,1.0,100.0,True,
LR_LR_LR_LR_LR,B,1,mixed,low,0.05,0.75,25.952102661132812,48.46405792236328,100.0,755.2777070048354,343.36220961279076,1.0,100.0,True,
LR_LR_LR_LR_LR,B,1,mixed,low,0.05,1.0,22.932912826538086,48.46117401123047,100.0,813.2544161617859,362.9059454921703,1.0,100.0,True,
LR_LR_LR_LR_LR,B,1,commercial,low,0.05,0.0,29.991416931152344,48.47582244873047,100.0,672.6793682925296,300.9886175192859,1.0,100.0,True,
LR_LR_LR_LR_LR,B,1,commercial,low,0.05,0.25,29.65772247314453,48.47410202026367,100.0,679.9678978380063,319.7790992665858,1.0,100.0,True,
LR_LR_LR_LR_LR,B,1,commercial,low,0.05,0.5,27.4268798828125,48.4716682434082,100.0,725.9576527507124,345.3546032839223,1.0,100.0,True,
LR_LR_LR_LR_LR,B,1,commercial,low,0.05,0.75,17.292692184448242,48.468196868896484,100.0,872.036517533301,380.16509005605343,1.0,100.0,True,
LR_LR_LR_LR_LR,B,1,commercial,low,0.05,1.0,-2.529764175415039,48.46321105957031,94.2653462564967,1127.0894200449277,427.54515547127795,1.0,100.0,False,"V3_floor,V4_band"
LR_LR_LR_LR_LR,B,1,industrial,low,0.05,0.0,30.157360076904297,48.46117401123047,100.0,670.1344049029599,300.9362797399435,1.0,100.0,True,
LR_LR_LR_LR_LR,B,1,industrial,low,0.05,0.25,29.599105834960938,48.46117401123047,100.0,681.2395686901407,339.5096920625728,1.0,100.0,True,
LR_LR_LR_LR_LR,B,1,industrial,low,0.05,0.5,22.994203567504883,48.46117401123047,100.0,812.1009714922708,406.7048653452595,1.0,100.0,True,
LR_LR_LR_LR_LR,B,1,industrial,low,0.05,0.75,6.7394700050354,48.46117401123047,99.04480966427869,1062.06818547852,523.7592709922321,1.0,100.0,True,
LR_LR_LR_LR_LR,B,1,industrial,low,0.05,1.0,-33.08454513549805,48.46117401123047,72.37849417052958,1497.5219579351851,727.6686481160062,1.0,100.0,False,"V3_floor,V4_band"
LR_LR_LR_LR_LR,C,1,mixed,low,0.05,0.0,28.666351318359375,48.4619140625,100.0,701.6243915657487,307.48854786989017,1.0,100.0,True,
LR_LR_LR_LR_LR,C,1,mixed,low,0.05,0.25,28.579044342041016,48.46117401123047,100.0,703.3369976298161,311.2828753447581,1.0,100.0,True,
LR_LR_LR_LR_LR,C,1,mixed,low,0.05,0.5,28.473388671875,48.46117401123047,100.0,705.4044450517173,315.8626407401753,1.0,100.0,True,
LR_LR_LR_LR_LR,C,1,mixed,low,0.05,0.75,27.74347496032715,48.46117401123047,100.0,718.1656593079609,321.3904311818974,1.0,100.0,True,
LR_LR_LR_LR_LR,C,1,mixed,low,0.05,1.0,26.690202713012695,48.46117401123047,100.0,738.3827514572395,328.06248953423625,1.0,100.0,True,
LR_LR_LR_LR_LR,C,1,commercial,low,0.05,0.0,28.73127555847168,48.46357345581055,100.0,700.3484691413881,306.9298593267789,1.0,100.0,True,
LR_LR_LR_LR_LR,C,1,commercial,low,0.05,0.25,28.60256576538086,48.462886810302734,100.0,702.8760784959406,313.3467260193764,1.0,100.0,True,
LR_LR_LR_LR_LR,C,1,commercial,low,0.05,0.5,28.278234481811523,48.461944580078125,100.0,707.4547097484073,322.08062078544407,1.0,100.0,True,
LR_LR_LR_LR_LR,C,1,commercial,low,0.05,0.75,26.648080825805664,48.46117401123047,100.0,738.7321379605761,333.96818001624024,1.0,100.0,True,
LR_LR_LR_LR_LR,C,1,commercial,low,0.05,1.0,24.32817268371582,48.46117401123047,100.0,781.4301632265353,350.1481332716855,1.0,100.0,True,
LR_LR_LR_LR_LR,C,1,industrial,low,0.05,0.0,28.800113677978516,48.46117401123047,100.0,698.9934082735747,306.83715373869177,1.0,100.0,True,
LR_LR_LR_LR_LR,C,1,industrial,low,0.05,0.25,28.587379455566406,48.46117401123047,100.0,703.1742028499641,319.9543855722078,1.0,100.0,True,
LR_LR_LR_LR_LR,C,1,industrial,low,0.05,0.5,26.701505661010742,48.46117401123047,100.0,737.5493615334351,342.80462973492183,1.0,100.0,True,
LR_LR_LR_LR_LR,C,1,industrial,low,0.05,0.75,21.853588104248047,48.46117401123047,100.0,823.8399862642215,382.6098007746273,1.0,100.0,True,
LR_LR_LR_LR_LR,C,1,industrial,low,0.05,1.0,12.277972221374512,48.46117401123047,100.0,974.1434485268011,451.9504882082778,1.0,100.0,True,
LR_LR_LR_LR_LR,D,1,mixed,low,0.05,0.0,29.72227668762207,48.46653366088867,100.0,683.2220120278652,304.99397436855776,1.0,100.0,True,
