strategy,transform,scaling,interval_agg_h,window_size,step_size,n_windows,sil_district,sil_month,month_within_district,probe_district,eff_dim,drift_rank,drift_sep,drift_auroc,seconds
manual,none,minmax_ref,2,84,1,15000,-0.030644972292863764,-0.2088338302420003,0.37555555555555553,0.9861111111111112,1.782809501257406,1.0,2.1101624897695537,0.746031746031746,227.1
manual,none,none,2,84,1,15000,0.8552907244524265,-0.1996603476278395,0.29911111111111105,0.9994444444444445,2.681773911323298,4.0,-0.5797927701345293,0.8333333333333334,231.9
manual,slog,minmax_ref,2,84,1,15000,-0.0024563634690683627,-0.1745774947411594,0.39266666666666666,0.9872222222222222,2.3291113486100534,1.0,2.8329100314956843,0.5634920634920635,262.3
manual,slog,none,2,84,1,15000,0.9641394867241548,-0.22415844406910593,0.11844444444444444,1.0,1.5115326861577725,1.0,197.12311315102872,0.9682539682539683,275.8
manual,diff,minmax_ref,2,84,1,15000,-0.11802643667640146,-0.22492494301490581,0.1657777777777778,0.9994444444444445,1.6798074395032068,3.0,0.3151822579873464,0.7619047619047619,290.8
manual,diff,none,2,84,1,15000,0.05651696990880927,-0.13872826491947848,0.12244444444444444,1.0,9.985160234020304,2.0,0.5236681879069618,0.8134920634920635,293.5
