strategy,transform,scaling,interval_agg_h,window_size,step_size,n_windows,sil_district,sil_month,month_within_district,probe_district,eff_dim,drift_rank,drift_sep,drift_auroc,seconds
manual,none,minmax_ref,4,48,12,2090,0.2083512535755059,-0.26142142721407685,0.319047619047619,1.0,1.841963526108863,1.0,1.685067369860326,0.9722222222222222,9.1
manual,none,none,4,48,12,2090,0.9906568124676293,-0.05496703085187794,0.3476190476190476,1.0,2.592699998475702,3.0,-0.09194778999439562,0.9375,8.4
manual,slog,minmax_ref,4,48,12,2090,0.406654631383225,-0.21243438722209657,0.2984126984126984,1.0,2.267299424340908,2.0,0.9018422661561538,0.9722222222222222,10.1
manual,slog,none,4,48,12,2090,0.9820809496991835,-0.06675197483148888,0.30158730158730157,1.0,1.766750955057875,4.0,-0.8128739427979489,0.9861111111111112,16.7
manual,diff,minmax_ref,4,48,12,2090,0.5459962701128512,-0.08861890379405188,0.292063492063492,1.0,1.8715789619466205,1.0,2.1963884696725033,1.0,23.1
manual,diff,none,4,48,12,2090,0.6134411277819006,-0.0744375479351386,0.3,1.0,2.8885818141813604,2.0,1.075549169586901,1.0,25.1
manual,deseason_own,minmax_ref,4,48,12,2090,-0.039875331545812444,-0.19599637087304506,0.025396825396825397,0.8405103668261563,5.005165218838753,3.0,0.1796691384818743,0.5694444444444444,22.8
manual,deseason_own,none,4,48,12,2090,-0.3025893571348988,-0.296759184364145,0.03333333333333333,0.7623604465709729,4.53971251014064,1.0,2.7008521596693775,0.7291666666666666,23.9
variance,none,minmax_ref,4,48,12,2090,0.19216184369055564,-0.24796808495996864,0.3015873015873016,0.9968102073365231,2.697047204907021,2.0,0.7169561842682592,0.8055555555555556,26.6
variance,none,none,4,48,12,2090,0.9011271401750008,-0.08676789978658297,0.534920634920635,1.0,3.0377546067510584,5.0,-0.761352984643232,0.9097222222222222,24.0
variance,slog,minmax_ref,4,48,12,2090,0.15073959920287647,-0.23267160563418315,0.2841269841269841,1.0,2.387378416471056,2.0,1.3878986934364836,0.8472222222222222,25.7
variance,slog,none,4,48,12,2090,0.7573374343400702,-0.11679193508992904,0.33174603174603173,1.0,1.2070006254727554,3.0,-0.6977740270468674,0.7847222222222222,26.9
variance,diff,minmax_ref,4,48,12,2090,0.5448712473470714,-0.12038015774291624,0.32857142857142857,1.0,3.1754764635987462,1.0,2.520949011374902,0.9930555555555556,22.7
variance,diff,none,4,48,12,2090,0.7379434165276655,-0.09399750442655386,0.39682539682539686,1.0,3.5480582888750747,1.0,2.396089528900145,1.0,25.2
variance,deseason_own,minmax_ref,4,48,12,2090,-0.0578755049432028,-0.26505568118659645,0.02222222222222222,0.8261562998405104,5.300576604066131,3.0,-0.5967054239267635,0.6527777777777778,24.3
variance,deseason_own,none,4,48,12,2090,-0.1945190692916819,-0.32233942236053453,0.049206349206349205,0.8883572567783095,7.331523114814742,1.0,1.517947827231313,0.6875,24.4
manual,none,minmax_ref,1,24,24,4500,0.27784255253207074,-0.20737185904152847,0.5140740740740741,1.0,3.1998361312306063,2.0,1.3914816440439963,0.9930555555555556,31.8
manual,none,minmax_ref,2,24,24,2250,0.3266164445627454,-0.1642382906865908,0.3762962962962963,1.0,2.6405888355001044,1.0,1.6828419482281125,0.9722222222222222,17.4
variance,none,minmax_ref,1,24,24,4500,0.14999277052204196,-0.21363702401916712,0.7162962962962963,1.0,3.2901771054031346,4.0,-0.3603693666297,0.9236111111111112,35.8
variance,none,minmax_ref,2,24,24,2250,0.22598119725875884,-0.22505896750179505,0.47555555555555556,1.0,4.340326912150661,3.0,0.6001576283193908,0.8472222222222222,16.4
boundary,none,minmax_ref,1,24,24,4500,-0.09953633875280024,-0.2738660160522732,0.7177777777777778,0.997037037037037,1.5789574023968576,2.0,1.0232700778512622,0.9583333333333334,37.6
boundary,none,minmax_ref,2,24,24,2250,-0.05956944676937707,-0.3240408625769588,0.482962962962963,1.0,1.8429332004361707,2.0,1.048405850650081,0.8472222222222222,16.8
